Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
9.1200,200.6487,200.8292,3077.3611,0.0000,0.0000,147.7950
9.2400,200.6463,200.8254,3077.3611,0.0000,0.0000,147.7950
9.3600,200.6439,200.8215,3077.3611,8.4000,0.0000,148.1270
9.4800,200.6415,200.8177,3077.3611,0.0000,0.0000,148.1270
9.6000,200.6387,200.8133,3077.3611,8.4000,0.0000,148.4132
9.7200,200.6360,200.8088,3077.3611,16.8000,0.0000,148.9983
9.8400,200.6333,200.8044,3077.3611,0.0000,0.0000,148.9983
9.9600,200.6310,200.8005,3077.3611,8.4000,0.0000,149.3303
10.0800,200.6287,200.7966,3077.3611,0.0000,0.0000,149.3303
10.2000,200.6264,200.7928,3077.3611,8.4000,0.0000,149.6623
10.3200,200.6241,200.7889,3077.3611,0.0000,0.0000,149.6623
10.4400,200.6215,200.7844,3077.3611,8.4000,0.0000,149.9485
10.5600,200.6189,200.7799,3077.3611,16.8000,0.0000,150.5337
10.6800,200.6163,200.7753,3077.3611,0.0000,0.0000,150.5337
10.8000,200.6134,200.7701,3077.3611,0.0000,0.0000,150.5337
10.9200,200.6110,200.7659,3077.3611,0.0000,0.0000,150.5337
11.0400,200.6088,200.7620,3077.3611,0.0000,0.0000,150.5337
11.1600,200.6066,200.7581,3077.3611,0.0000,0.0000,150.5337
11.2800,200.6044,200.7542,3077.3611,0.0000,0.0000,150.5337
11.4000,200.6018,200.7496,3077.3611,0.0000,0.0000,150.5337
11.5200,200.5989,200.7444,3077.3611,0.0000,0.0000,150.5337
11.6400,200.5960,200.7393,3077.3611,0.0000,0.0000,150.5337
11.7600,200.5927,200.7335,3077.3611,0.0000,0.0000,150.5337
11.8800,200.5894,200.7277,3077.3611,0.0000,0.0000,150.5337
12.0000,200.5861,200.7219,3077.3611,8.4000,0.0000,150.7580
12.1200,200.5829,200.7161,3077.3611,0.0000,0.0000,150.7580
12.2400,200.5793,200.7096,3077.3611,0.0000,0.0000,150.7580
12.3600,200.5757,200.7032,3077.3611,8.4000,0.0000,150.9605
12.4800,200.5721,200.6967,3077.3611,16.8000,0.0000,151.3744
12.6000,200.5685,200.6903,3077.3611,0.0000,0.0000,151.3744
12.7200,200.5655,200.6847,3077.3611,8.4000,0.0000,151.6115
12.8400,200.5625,200.6792,3077.3611,0.0000,0.0000,151.6115
12.9600,200.5595,200.6736,3077.3611,0.0000,0.0000,151.6115
13.0800,200.5565,200.6681,3077.3611,8.4000,0.0000,151.8486
13.2000,200.5536,200.6625,3077.3611,0.0000,0.0000,151.8486
13.3200,200.5506,200.6570,3077.3611,0.0000,0.0000,151.8486
13.4400,200.5473,200.6508,3077.3611,0.0000,0.0000,151.8486
13.5600,200.5445,200.6456,3077.3611,0.0000,0.0000,151.8486
13.6800,200.5413,200.6397,3077.3611,8.4000,0.0000,152.0730
13.8000,200.5382,200.6338,3077.3611,0.0000,0.0000,152.0730
13.9200,200.5351,200.6279,3077.3611,0.0000,0.0000,152.0730
14.0400,200.5320,200.6220,3077.3611,0.0000,0.0000,152.0730
14.1600,200.5289,200.6162,3077.3611,0.0000,0.0000,152.0730
14.2800,200.5254,200.6096,3077.3611,8.4000,0.0000,152.2754
14.4000,200.5220,200.6031,3077.3611,0.0000,0.0000,152.2754
14.5200,200.5190,200.5975,3077.3611,0.0000,0.0000,152.2754
14.6400,200.5161,200.5920,3077.3611,0.0000,0.0000,152.2754
14.7600,200.5128,200.5857,3077.3611,0.0000,0.0000,152.2754
14.8800,200.5092,200.5789,3077.3611,0.0000,0.0000,152.2754
15.0000,200.5056,200.5720,3077.3611,8.4000,0.0000,152.4684
15.1200,200.5021,200.5652,3077.3611,0.0000,0.0000,152.4684
15.2400,200.4982,200.5577,3077.3611,0.0000,0.0000,152.4684
15.3600,200.4947,200.5511,3077.3611,0.0000,0.0000,152.4684
15.4800,200.4918,200.5455,3077.3611,8.4000,0.0000,152.7056
