# Longitude, Latitude, Altitude, Roll, Pitch, Yaw
91.4296,291.9672,609.9889,1.5708,1.2217,-4.0941
85.7257,287.9094,609.9889,1.5708,1.2217,-4.1326
79.8699,284.0742,609.9889,1.5708,1.2217,-4.1711
73.8707,280.4673,609.9889,1.5708,1.2217,-4.2096
67.7371,277.0939,609.9889,1.5708,1.2217,-4.2481
61.4783,273.9592,609.9889,1.5708,1.2217,-4.2866
55.6498,271.3156,609.9889,1.5708,1.2217,-4.3287
50.2715,269.1443,609.9889,1.5708,1.2217,-4.3752
44.7982,267.2252,609.9889,1.5708,1.2217,-4.4216
39.2417,265.5624,609.9889,1.5708,1.2217,-4.4681
33.6139,264.1596,609.9889,1.5708,1.2217,-4.5146
27.9270,263.0197,609.9889,1.5708,1.2217,-4.5610
22.1933,262.1452,609.9889,1.5708,1.2217,-4.6075
16.4252,261.5380,609.9889,1.5708,1.2217,-4.6540
10.6351,261.1993,609.9889,1.5708,1.2217,-4.7004
5.4355,261.1372,609.9889,1.5708,1.2217,-4.7523
0.8391,261.3207,609.9889,1.5708,1.2217,-4.8109
-3.7386,261.7730,609.9889,1.5708,1.2217,4.8695
0.8048,262.4925,609.9889,1.5708,1.2217,-1.4723
5.7806,262.9842,609.9889,1.5708,1.2217,-1.5262
11.1752,263.2248,609.9889,1.5708,1.2217,-1.5761
15.9751,263.1992,609.9889,1.5708,1.2217,-1.6323
21.1653,262.8796,609.9889,1.5708,1.2217,-1.6841
26.3319,262.2916,609.9889,1.5708,1.2217,-1.7359
31.4612,261.4368,609.9889,1.5708,1.2217,-1.7878
35.9533,260.4464,609.9889,1.5708,1.2217,-1.8464
40.3798,259.1948,609.9889,1.5708,1.2217,-1.9050
44.7253,257.6860,609.9889,1.5708,1.2217,-1.9636
49.3446,255.7723,609.9889,1.5708,1.2217,-2.0175
53.8540,253.6125,609.9889,1.5708,1.2217,-2.0714
58.5915,251.0209,609.9889,1.5708,1.2217,-2.1213
63.5347,247.9869,609.9889,1.5708,1.2217,-2.1678
68.3315,244.7265,609.9889,1.5708,1.2217,-2.2142
72.9718,241.2469,609.9889,1.5708,1.2217,-2.2607
77.7539,237.3009,609.9889,1.5708,1.2217,-2.3042
82.3601,233.1507,609.9889,1.5708,1.2217,-2.3476
86.7815,228.8043,609.9889,1.5708,1.2217,-2.3911
91.0098,224.2699,609.9889,1.5708,1.2217,-2.4346
95.0371,219.5560,609.9889,1.5708,1.2217,-2.4781
98.4862,215.1442,609.9889,1.5708,1.2217,-2.5262
101.3727,211.0615,609.9889,1.5708,1.2217,-2.5801
104.2479,206.4907,609.9889,1.5708,1.2217,-2.6300
106.8916,201.7820,609.9889,1.5708,1.2217,-2.6799
109.0297,197.4846,609.9889,1.5708,1.2217,-2.7361
110.9233,193.0739,609.9889,1.5708,1.2217,-2.7922
112.5664,188.5638,609.9889,1.5708,1.2217,-2.8484
113.7804,184.5431,609.9889,1.5708,1.2217,-2.9125
114.5978,181.0371,609.9889,1.5708,1.2217,-2.9874
115.2121,177.0846,609.9889,1.5708,1.2217,-3.0548
115.5588,173.0996,609.9889,1.5708,1.2217,-3.1222
115.6248,169.7003,609.9889,1.5708,1.2217,-3.2014
115.3975,165.9071,609.9889,1.5708,1.2217,-3.2724
114.8498,161.7430,609.9889,1.5708,1.2217,-3.3365
114.0362,157.6225,609.9889,1.5708,1.2217,-3.4007
112.9599,153.5627,609.9889,1.5708,1.2217,-3.4649
111.8162,150.1493,609.9889,1.5708,1.2217,-3.5398
110.4204,146.8309,609.9889,1.5708,1.2217,-3.6146
109.0536,144.1603,609.9889,1.5708,1.2217,-3.7045
107.4527,141.6232,609.9889,1.5708,1.2217,-3.7943
