# Longitude, Latitude, Altitude, Roll, Pitch, Yaw
621.2271,115.3429,759.5365,1.5708,0.0000,-5.7204
618.5592,119.5716,759.5365,1.5708,0.0000,-5.7204
615.8913,123.8004,759.5365,1.5708,0.0000,-5.7204
613.2235,128.0292,759.5365,1.5708,0.0000,-5.7204
610.5556,132.2579,759.5365,1.5708,0.0000,-5.7204
607.8877,136.4867,759.5365,1.5708,0.0000,-5.7204
605.2199,140.7155,759.5365,1.5708,0.0000,-5.7204
602.5520,144.9442,759.5365,1.5708,0.0000,-5.7204
599.8841,149.1730,759.5365,1.5708,0.0000,-5.7204
597.2162,153.4018,759.5365,1.5708,0.0000,-5.7204
594.5484,157.6305,759.5365,1.5708,0.0000,-5.7204
591.8805,161.8593,759.5365,1.5708,0.0000,-5.7204
589.2126,166.0881,759.5365,1.5708,0.0000,-5.7204
586.5448,170.3168,759.5365,1.5708,0.0000,-5.7204
583.8769,174.5456,759.5365,1.5708,0.0000,-5.7204
581.2090,178.7744,759.5365,1.5708,0.0000,-5.7204
578.5412,183.0031,759.5365,1.5708,0.0000,-5.7204
575.8733,187.2319,759.5365,1.5708,0.0000,-5.7204
573.2054,191.4607,759.5365,1.5708,0.0000,-5.7204
570.5375,195.6894,759.5365,1.5708,0.0000,-5.7204
567.8697,199.9182,759.5365,1.5708,0.0000,-5.7204
565.2018,204.1470,759.5365,1.5708,0.0000,-5.7204
562.5339,208.3757,759.5365,1.5708,0.0000,-5.7204
559.8661,212.6045,759.5365,1.5708,0.0000,-5.7204
557.1982,216.8333,759.5365,1.5708,0.0000,-5.7204
554.5303,221.0620,759.5365,1.5708,0.0000,-5.7204
551.8625,225.2908,759.5365,1.5708,0.0000,-5.7204
549.1946,229.5196,759.5365,1.5708,0.0000,-5.7204
546.5267,233.7483,759.5365,1.5708,0.0000,-5.7204
543.8588,237.9771,759.5365,1.5708,0.0000,-5.7204
541.1910,242.2059,759.5365,1.5708,0.0000,-5.7204
538.5231,246.4346,759.5365,1.5708,0.0000,-5.7204
535.8552,250.6634,759.5365,1.5708,0.0000,-5.7204
533.1874,254.8922,759.5365,1.5708,0.0000,-5.7204
530.5195,259.1209,759.5365,1.5708,0.0000,-5.7204
527.8516,263.3497,759.5365,1.5708,0.0000,-5.7204
525.1838,267.5785,759.5365,1.5708,0.0000,-5.7204
522.5159,271.8072,759.5365,1.5708,0.0000,-5.7204
519.8480,276.0360,759.5365,1.5708,0.0000,-5.7204
517.1801,280.2648,759.5365,1.5708,0.0000,-5.7204
514.5123,284.4935,759.5365,1.5708,0.0000,-5.7204
511.8444,288.7223,759.5365,1.5708,0.0000,-5.7204
509.1765,292.9511,759.5365,1.5708,0.0000,-5.7204
506.5087,297.1798,759.5365,1.5708,0.0000,-5.7204
503.8408,301.4086,759.5365,1.5708,0.0000,-5.7204
501.1729,305.6374,759.5365,1.5708,0.0000,-5.7204
498.5051,309.8661,759.5365,1.5708,0.0000,-5.7204
495.8372,314.0949,759.5365,1.5708,0.0000,-5.7204
493.1693,318.3237,759.5365,1.5708,0.0000,-5.7204
490.5014,322.5524,759.5365,1.5708,0.0000,-5.7204
487.8336,326.7812,759.5365,1.5708,0.0000,-5.7204
485.1657,331.0100,759.5365,1.5708,0.0000,-5.7204
482.4978,335.2388,759.5365,1.5708,0.0000,-5.7204
479.8300,339.4675,759.5365,1.5708,0.0000,-5.7204
477.1621,343.6963,759.5365,1.5708,0.0000,-5.7204
474.4942,347.9251,759.5365,1.5708,0.0000,-5.7204
471.8264,352.1538,759.5365,1.5708,0.0000,-5.7204
469.1585,356.3826,759.5365,1.5708,0.0000,-5.7204
466.4906,360.6114,759.5365,1.5708,0.0000,-5.7204
463.8227,364.8401,759.5365,1.5708,0.0000,-5.7204
461.1549,369.0689,759.5365,1.5708,0.0000,-5.7204
